id,Product ID,Type,air_temp,process_temp,rpm,torque,tool_wear,target,TWF,HDF,PWF,OSF,RNF,air_temp_c,process_temp_c,power_factor,temp_diff
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,24.950000000000045,35.450000000000045,66382.79999999999,10.5
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,25.05000000000001,35.55000000000001,65190.399999999994,10.5
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,24.950000000000045,35.35000000000002,74001.2,10.399999999999977
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,25.05000000000001,35.450000000000045,56603.5,10.400000000000034
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,25.05000000000001,35.55000000000001,56320.0,10.5
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,24.950000000000045,35.450000000000045,59707.5,10.5
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,24.950000000000045,35.450000000000045,66059.2,10.5
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,24.950000000000045,35.450000000000045,61385.4,10.5
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,25.150000000000034,35.55000000000001,47676.200000000004,10.399999999999977
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,25.350000000000023,35.85000000000002,48748.0,10.5
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,25.25,35.75,42589.799999999996,10.5
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,25.450000000000045,35.950000000000045,63038.899999999994,10.5
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,25.450000000000045,35.950000000000045,68422.90000000001,10.5
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,25.450000000000045,36.05000000000001,52260.0,10.599999999999966
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,25.450000000000045,36.05000000000001,39886.0,10.599999999999966
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,25.450000000000045,36.05000000000001,74632.8,10.599999999999966
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,25.450000000000045,36.05000000000001,61092.6,10.599999999999966
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,25.55000000000001,36.05000000000001,64296.0,10.5
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,25.650000000000034,36.05000000000001,71177.0,10.399999999999977
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,25.75,36.150000000000034,53040.0,10.400000000000034
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,25.75,36.150000000000034,58712.50000000001,10.400000000000034
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,25.650000000000034,36.150000000000034,64959.99999999999,10.5
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,25.75,36.150000000000034,48536.7,10.400000000000034
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,25.850000000000023,36.25,45180.6,10.399999999999977
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,25.850000000000023,36.25,58225.299999999996,10.399999999999977
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,25.850000000000023,36.35000000000002,43361.3,10.5
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,25.950000000000045,36.35000000000002,58968.0,10.399999999999977
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,25.950000000000045,36.25,44550.600000000006,10.299999999999955
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,25.950000000000045,36.25,63603.8,10.299999999999955
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,25.850000000000023,36.25,50959.3,10.399999999999977
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,25.950000000000045,36.35000000000002,64539.8,10.399999999999977
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,25.850000000000023,36.25,45849.0,10.399999999999977
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,25.850000000000023,36.25,68537.7,10.399999999999977
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,25.75,36.150000000000034,54112.5,10.400000000000034
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,25.650000000000034,35.950000000000045,54097.3,10.300000000000011
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,25.650000000000034,36.05000000000001,70567.2,10.399999999999977
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,25.75,36.05000000000001,58022.700000000004,10.300000000000011
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,25.650000000000034,35.950000000000045,56408.8,10.300000000000011
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,25.75,36.05000000000001,69915.3,10.300000000000011
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,25.650000000000034,35.950000000000045,70875.0,10.300000000000011
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,25.650000000000034,35.950000000000045,61834.799999999996,10.300000000000011
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,25.650000000000034,35.950000000000045,69494.4,10.300000000000011
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,25.650000000000034,35.950000000000045,67168.8,10.300000000000011
